,Date,Country,Cum # of Cases,Cum # of Deaths,Cum # Recovered,# of Cases,# of Deaths,# Recovered,Day,Day of Month,Month,Month Name
239,2003-04-25,China,2601.0,115.0,1277.0,179.0,5.0,23.0,40,25,4,April
240,2003-04-25,Hong Kong,1510.0,115.0,614.0,22.0,6.0,47.0,40,25,4,April
241,2003-04-25,Singapore,195.0,19.0,126.0,3.0,0.0,8.0,40,25,4,April
242,2003-04-25,Taiwan,43.0,0.0,21.0,4.0,0.0,0.0,40,25,4,April
243,2003-04-25,United States,223.0,0.0,0.0,2.0,0.0,0.0,40,25,4,April
244,2003-04-25,Viet Nam,69.0,5.0,53.0,0.0,0.0,4.0,40,25,4,April
245,2003-04-26,Canada,143.0,19.0,77.0,2.0,3.0,3.0,41,26,4,April
246,2003-04-26,China,2753.0,122.0,1285.0,152.0,7.0,8.0,41,26,4,April
247,2003-04-26,Hong Kong,1527.0,121.0,632.0,17.0,6.0,18.0,41,26,4,April
248,2003-04-26,Singapore,198.0,21.0,126.0,3.0,2.0,0.0,41,26,4,April
249,2003-04-26,Taiwan,51.0,0.0,25.0,8.0,0.0,4.0,41,26,4,April
250,2003-04-26,United States,225.0,0.0,0.0,2.0,0.0,0.0,41,26,4,April
251,2003-04-26,Viet Nam,69.0,5.0,53.0,0.0,0.0,0.0,41,26,4,April
252,2003-04-28,Canada,143.0,19.0,77.0,0.0,0.0,0.0,43,28,4,April
253,2003-04-28,China,2914.0,131.0,1299.0,161.0,9.0,14.0,43,28,4,April
254,2003-04-28,Hong Kong,1557.0,138.0,710.0,30.0,17.0,78.0,43,28,4,April
255,2003-04-28,Singapore,199.0,23.0,137.0,1.0,2.0,11.0,43,28,4,April
256,2003-04-28,Taiwan,68.0,0.0,25.0,17.0,0.0,0.0,43,28,4,April
257,2003-04-28,United States,225.0,0.0,0.0,0.0,0.0,0.0,43,28,4,April
258,2003-04-28,Viet Nam,69.0,5.0,53.0,0.0,0.0,0.0,43,28,4,April
259,2003-04-29,Canada,147.0,21.0,86.0,4.0,2.0,9.0,44,29,4,April
260,2003-04-29,China,3303.0,148.0,1322.0,389.0,17.0,23.0,44,29,4,April
261,2003-04-29,Hong Kong,1572.0,150.0,759.0,15.0,12.0,49.0,44,29,4,April
262,2003-04-29,Singapore,201.0,24.0,139.0,2.0,1.0,2.0,44,29,4,April
263,2003-04-29,Taiwan,68.0,0.0,25.0,0.0,0.0,0.0,44,29,4,April
264,2003-04-29,United States,225.0,0.0,0.0,0.0,0.0,0.0,44,29,4,April
